,quit,n_prac,s_final,prac_final
4448,0,3537,0.8829163479173662,1000.0
4449,0,3514,0.8942839310589361,1000.0
4450,0,3521,0.8795944897771072,1000.0
4451,0,3500,0.8378149432207319,1000.0
4452,1,3,0.004374649722806731,10.131913246831786
4453,0,3428,0.8231961189769883,1000.0
4454,0,3559,0.8822920443025045,1000.0
4455,0,3497,0.8706508703830228,1000.0
4456,0,3497,0.8345193736513132,1000.0
4457,1,3,0.001425353171540341,17.388298883254347
4458,1,8,0.006857858644287989,24.281878561434556
4459,0,3533,0.8903531110004705,1000.0
4460,0,3566,0.8546826351357538,1000.0
4461,0,3558,0.8879515279020519,1000.0
4462,1,13,0.007746815426028463,33.130935737652806
4463,0,3492,0.6519678685668685,1000.0
4464,0,3562,0.7415447773911892,1000.0
4465,0,3540,0.8324409952322124,1000.0
4466,0,3447,0.8338476601419115,1000.0
4467,0,3500,0.8815940681798948,1000.0
4468,0,3539,0.8857692785039781,1000.0
4469,0,3559,0.8966254261160841,1000.0
4470,0,3496,0.8077242272878743,1000.0
4471,0,3420,0.7435255473041502,1000.0
4472,1,9,0.0028239595451056945,30.620518716198657
4473,0,3497,0.7156852566566219,1000.0
4474,0,3530,0.8206159566746003,1000.0
4475,1,11,0.005346960731691039,30.541834433875596
4476,1,10,0.002390386779777856,27.98602494717916
4477,0,3579,0.8920941102745809,1000.0
4478,0,3425,0.7911703766283968,1000.0
4479,0,3567,0.8977184669361795,1000.0
4480,0,3516,0.8399169895052232,1000.0
4481,0,3517,0.8791595157531061,1000.0
4482,0,3565,0.8794855813343025,1000.0
4483,0,3515,0.8176752054635675,1000.0
4484,0,3519,0.7650674978548765,1000.0
4485,0,3457,0.8924648100553819,1000.0
4486,0,3515,0.7702332563950053,1000.0
4487,0,3542,0.7900053620135808,1000.0
4488,0,3536,0.8455310965121056,1000.0
4489,0,3477,0.7807678802271034,1000.0
4490,0,3538,0.8683913800385907,1000.0
4491,0,3560,0.8261285117502154,1000.0
4492,0,3480,0.8902793891089834,1000.0
4493,0,3620,0.8197455154430839,1000.0
4494,1,12,0.00593047135890162,31.317480845562446
4495,0,3519,0.8587719728170008,1000.0
4496,0,3486,0.876237071213231,1000.0
4497,0,3519,0.8761151432356057,1000.0
4498,0,3497,0.8063274336598855,1000.0
4499,0,3450,0.7888794447519801,1000.0
4500,0,3580,0.8555629123466438,1000.0
4501,0,3581,0.8903786323725947,1000.0
4502,0,3511,0.7035740946096222,1000.0
4503,1,14,0.005373386247715733,36.323870557793526
4504,0,3497,0.818962618491373,1000.0
4505,0,3540,0.8846457260254706,1000.0
4506,0,3509,0.845581214554834,1000.0
4507,0,3489,0.8127366740475703,1000.0
