"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"albab123",1164,2018-07-02,2024-05-17,2147,0.542151839776432,0.00171821305841924,0.844501718213058,0.194158075601375,0,0.00687285223367698
"asa711",599,2018-07-02,2024-10-16,2299,0.260548064375816,0.140233722871452,0.387312186978297,0.659432387312187,0.0500834724540902,0.0717863105175292
"ashu7050",12,2018-07-02,2018-07-28,27,0.444444444444444,0.333333333333333,0,0.0833333333333333,0.833333333333333,0
"atulchadda",499,2018-07-02,2024-11-03,2317,0.215364695727233,0.663326653306613,0.35871743486974,0.00400801603206413,0.00200400801603206,0
"babbula",715,2018-07-02,2024-11-01,2315,0.308855291576674,0.013986013986014,0.997202797202797,0.0377622377622378,0.0013986013986014,0.013986013986014
"bayraa1",4,2018-07-02,2018-07-11,10,0.4,0,1,0.25,0,0
"chocolatecookie",7,2018-07-02,2018-08-12,42,0.166666666666667,0.428571428571429,0,0,0.714285714285714,0
"corps98",117,2018-07-02,2019-06-24,358,0.326815642458101,0.0256410256410256,1,0.00854700854700855,0,0
"darkyellow",256,2018-07-02,2019-07-02,366,0.699453551912568,0.66015625,0.6484375,0.01171875,0.1015625,0.03515625
"defilusm",195,2018-07-02,2024-10-14,2297,0.0848933391380061,0.0666666666666667,0.676923076923077,0.41025641025641,0.00512820512820513,0.0256410256410256
"elbey1",220,2018-07-02,2019-06-01,335,0.656716417910448,0.572727272727273,0.00454545454545455,0.0318181818181818,0.440909090909091,0
"fortnite_best_game",4,2018-07-02,2018-07-19,18,0.222222222222222,0.25,0.25,0,0.75,0
"immoltalturk",1,2018-07-02,2018-07-02,1,1,0,0,1,0,0
"jiaying",117,2018-07-02,2023-09-08,1895,0.0617414248021108,0.205128205128205,0.47008547008547,0.341880341880342,0.111111111111111,0.170940170940171
"kazarav",637,2018-07-02,2024-10-24,2307,0.276116168183788,0.144427001569859,0.835164835164835,0.199372056514914,0.15541601255887,0.00784929356357928
"kuzeycurry",230,2018-07-02,2024-10-23,2306,0.0997398091934085,0.426086956521739,0.417391304347826,0.326086956521739,0.134782608695652,0.117391304347826
"matonse",1,2018-07-02,2018-07-02,1,1,1,1,0,1,0
"mohebpar65",22,2018-07-02,2019-03-17,259,0.0849420849420849,0,0.272727272727273,0.0909090909090909,0.863636363636364,0
"nicossss07",18,2018-07-02,2022-10-03,1555,0.0115755627009646,0.277777777777778,0.777777777777778,0.222222222222222,0.111111111111111,0
"omerchn1231",545,2018-07-02,2024-08-21,2243,0.242978154257691,0.535779816513761,0.444036697247706,0.0165137614678899,0.0238532110091743,0.205504587155963
"pollobi",1,2018-07-02,2018-07-02,1,1,0,0,1,0,0
"salah21",643,2018-07-02,2020-07-01,731,0.879616963064295,0.889580093312597,0.236391912908243,0.00622083981337481,0.0139968895800933,0
"st_iv_012",78,2018-07-02,2021-11-27,1245,0.0626506024096386,0.0769230769230769,0.564102564102564,0.256410256410256,0.102564102564103,0.217948717948718
